Nitrogen,Phosphorus,Potassium,Temperature,pH,Rainfall,Crop,Fertilizer
120,55,60,35,7,1000,Cotton,Magnesium Sulphate
125,55,60,35,7,1000,Cotton,Magnesium Sulphate
130,55,60,35,7,1000,Cotton,Magnesium Sulphate
135,55,60,35,7,1000,Cotton,Magnesium Sulphate
140,55,60,35,7,1000,Cotton,Magnesium Sulphate
145,55,60,35,7,1000,Cotton,Magnesium Sulphate
150,55,60,35,7,1000,Cotton,Magnesium Sulphate
100,55,60,35,7,1000,Cotton,Magnesium Sulphate
105,60,65,25,7.5,800,Cotton,Magnesium Sulphate
110,60,65,25,7.5,800,Cotton,Magnesium Sulphate
115,60,65,25,7.5,800,Cotton,Magnesium Sulphate
120,60,65,25,7.5,800,Cotton,Magnesium Sulphate
125,60,65,25,7.5,800,Cotton,Magnesium Sulphate
130,60,65,25,7.5,800,Cotton,Magnesium Sulphate
135,60,65,25,7.5,800,Cotton,Magnesium Sulphate
140,60,65,25,7.5,800,Cotton,Magnesium Sulphate
145,60,65,25,7.5,800,Cotton,Magnesium Sulphate
150,60,65,25,7.5,800,Cotton,Magnesium Sulphate
100,60,65,25,7.5,800,Cotton,Magnesium Sulphate
105,40,70,30,6,900,Cotton,Magnesium Sulphate
110,40,70,30,6,900,Cotton,Magnesium Sulphate
115,40,70,30,6,900,Cotton,Magnesium Sulphate
120,40,70,30,6,900,Cotton,Magnesium Sulphate
125,40,70,30,6,900,Cotton,Magnesium Sulphate
130,40,70,30,6,900,Cotton,Magnesium Sulphate
135,40,70,30,6,900,Cotton,Magnesium Sulphate
140,40,70,30,6,900,Cotton,Magnesium Sulphate
145,40,70,30,6,900,Cotton,Magnesium Sulphate
150,40,70,30,6,900,Cotton,Magnesium Sulphate
100,40,70,30,6,900,Cotton,Magnesium Sulphate
105,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
110,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
115,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
120,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
125,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
130,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
135,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
140,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
145,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
150,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
100,45,75,35,6.5,1000,Cotton,Magnesium Sulphate
105,50,50,25,7,800,Cotton,13:32:26 NPK
110,50,50,25,7,800,Cotton,13:32:26 NPK
115,50,50,25,7,800,Cotton,13:32:26 NPK
120,50,50,25,7,800,Cotton,13:32:26 NPK
125,50,50,25,7,800,Cotton,13:32:26 NPK
130,50,50,25,7,800,Cotton,13:32:26 NPK
135,50,50,25,7,800,Cotton,13:32:26 NPK
140,50,50,25,7,800,Cotton,13:32:26 NPK
145,50,50,25,7,800,Cotton,13:32:26 NPK
150,50,50,25,7,800,Cotton,13:32:26 NPK
100,50,50,25,7,800,Cotton,13:32:26 NPK
105,55,55,30,7.5,900,Cotton,13:32:26 NPK
110,55,55,30,7.5,900,Cotton,13:32:26 NPK
115,55,55,30,7.5,900,Cotton,13:32:26 NPK
120,55,55,30,7.5,900,Cotton,13:32:26 NPK
125,55,55,30,7.5,900,Cotton,13:32:26 NPK
130,55,55,30,7.5,900,Cotton,13:32:26 NPK
135,55,55,30,7.5,900,Cotton,13:32:26 NPK
140,55,55,30,7.5,900,Cotton,13:32:26 NPK
145,55,55,30,7.5,900,Cotton,13:32:26 NPK
150,55,55,30,7.5,900,Cotton,13:32:26 NPK
100,55,55,30,7.5,900,Cotton,13:32:26 NPK
105,60,60,35,6,1000,Cotton,13:32:26 NPK
110,60,60,35,6,1000,Cotton,13:32:26 NPK
115,60,60,35,6,1000,Cotton,13:32:26 NPK
120,60,60,35,6,1000,Cotton,13:32:26 NPK
125,60,60,35,6,1000,Cotton,13:32:26 NPK
130,60,60,35,6,1000,Cotton,13:32:26 NPK
135,60,60,35,6,1000,Cotton,13:32:26 NPK
140,60,60,35,6,1000,Cotton,13:32:26 NPK
145,60,60,35,6,1000,Cotton,13:32:26 NPK
150,60,60,35,6,1000,Cotton,13:32:26 NPK
100,60,60,35,6,1000,Cotton,13:32:26 NPK
105,40,65,25,6.5,800,Cotton,13:32:26 NPK
110,40,65,25,6.5,800,Cotton,13:32:26 NPK
115,40,65,25,6.5,800,Cotton,13:32:26 NPK
120,40,65,25,6.5,800,Cotton,13:32:26 NPK
125,40,65,25,6.5,800,Cotton,13:32:26 NPK
130,40,65,25,6.5,800,Cotton,13:32:26 NPK
135,40,65,25,6.5,800,Cotton,13:32:26 NPK
140,40,65,25,6.5,800,Cotton,13:32:26 NPK
145,40,65,25,6.5,800,Cotton,13:32:26 NPK
150,40,65,25,6.5,800,Cotton,13:32:26 NPK
100,40,65,25,6.5,800,Cotton,13:32:26 NPK
105,45,70,30,7,900,Cotton,13:32:26 NPK
110,45,70,30,7,900,Cotton,13:32:26 NPK
115,45,70,30,7,900,Cotton,13:32:26 NPK
120,45,70,30,7,900,Cotton,13:32:26 NPK
125,45,70,30,7,900,Cotton,13:32:26 NPK
130,45,70,30,7,900,Cotton,13:32:26 NPK
135,45,70,30,7,900,Cotton,13:32:26 NPK
140,45,70,30,7,900,Cotton,13:32:26 NPK
145,45,70,30,7,900,Cotton,13:32:26 NPK
150,45,70,30,7,900,Cotton,13:32:26 NPK
100,45,70,30,7,900,Cotton,13:32:26 NPK
105,50,75,35,7.5,1000,Cotton,13:32:26 NPK
110,50,75,35,7.5,1000,Cotton,13:32:26 NPK
115,50,75,35,7.5,1000,Cotton,13:32:26 NPK
120,50,75,35,7.5,1000,Cotton,13:32:26 NPK
125,50,75,35,7.5,1000,Cotton,13:32:26 NPK
130,50,75,35,7.5,1000,Cotton,13:32:26 NPK
135,50,75,35,7.5,1000,Cotton,13:32:26 NPK
140,50,75,35,7.5,1000,Cotton,13:32:26 NPK
145,50,75,35,7.5,1000,Cotton,13:32:26 NPK
150,50,75,35,7.5,1000,Cotton,13:32:26 NPK
100,50,75,35,7.5,1000,Cotton,13:32:26 NPK
105,55,50,25,6,800,Cotton,DAP
110,55,50,25,6,800,Cotton,DAP
115,55,50,25,6,800,Cotton,DAP
120,55,50,25,6,800,Cotton,DAP
125,55,50,25,6,800,Cotton,DAP
130,55,50,25,6,800,Cotton,DAP
135,55,50,25,6,800,Cotton,DAP
140,55,50,25,6,800,Cotton,DAP
145,55,50,25,6,800,Cotton,DAP
150,55,50,25,6,800,Cotton,DAP
100,55,50,25,6,800,Cotton,DAP
105,60,55,30,6.5,900,Cotton,DAP
110,60,55,30,6.5,900,Cotton,DAP
115,60,55,30,6.5,900,Cotton,DAP
120,60,55,30,6.5,900,Cotton,DAP
125,60,55,30,6.5,900,Cotton,DAP
130,60,55,30,6.5,900,Cotton,DAP
135,60,55,30,6.5,900,Cotton,DAP
140,60,55,30,6.5,900,Cotton,DAP
145,60,55,30,6.5,900,Cotton,DAP
150,60,55,30,6.5,900,Cotton,DAP
100,60,55,30,6.5,900,Cotton,DAP
105,40,60,35,7,1000,Cotton,DAP
110,40,60,35,7,1000,Cotton,DAP
115,40,60,35,7,1000,Cotton,DAP
120,40,60,35,7,1000,Cotton,DAP
125,40,60,35,7,1000,Cotton,DAP
130,40,60,35,7,1000,Cotton,DAP
135,40,60,35,7,1000,Cotton,DAP
140,40,60,35,7,1000,Cotton,DAP
145,40,60,35,7,1000,Cotton,DAP
150,40,60,35,7,1000,Cotton,DAP
100,40,60,35,7,1000,Cotton,DAP
105,45,65,25,7.5,800,Cotton,DAP
110,45,65,25,7.5,800,Cotton,DAP
115,45,65,25,7.5,800,Cotton,DAP
120,45,65,25,7.5,800,Cotton,DAP
125,45,65,25,7.5,800,Cotton,DAP
130,45,65,25,7.5,800,Cotton,DAP
135,45,65,25,7.5,800,Cotton,DAP
140,45,65,25,7.5,800,Cotton,DAP
145,45,65,25,7.5,800,Cotton,DAP
150,45,65,25,7.5,800,Cotton,DAP
100,45,65,25,7.5,800,Cotton,DAP
105,50,70,30,6,900,Cotton,DAP
110,50,70,30,6,900,Cotton,DAP
115,50,70,30,6,900,Cotton,DAP
120,50,70,30,6,900,Cotton,DAP
125,50,70,30,6,900,Cotton,DAP
130,50,70,30,6,900,Cotton,DAP
135,50,70,30,6,900,Cotton,DAP
140,50,70,30,6,900,Cotton,DAP
145,50,70,30,6,900,Cotton,DAP
150,50,70,30,6,900,Cotton,DAP
100,50,70,30,6,900,Cotton,DAP
105,55,75,35,6.5,1000,Cotton,DAP
110,55,75,35,6.5,1000,Cotton,DAP
115,55,75,35,6.5,1000,Cotton,DAP
120,55,75,35,6.5,1000,Cotton,DAP
125,55,75,35,6.5,1000,Cotton,DAP
130,55,75,35,6.5,1000,Cotton,DAP
135,55,75,35,6.5,1000,Cotton,DAP
140,55,75,35,6.5,1000,Cotton,DAP
145,55,75,35,6.5,1000,Cotton,DAP
150,55,75,35,6.5,1000,Cotton,DAP
100,55,75,35,6.5,1000,Cotton,DAP
105,60,50,25,7,800,Cotton,Magnesium Sulphate
110,60,50,25,7,800,Cotton,Magnesium Sulphate
115,60,50,25,7,800,Cotton,Magnesium Sulphate
120,60,50,25,7,800,Cotton,Magnesium Sulphate
125,60,50,25,7,800,Cotton,Magnesium Sulphate
130,60,50,25,7,800,Cotton,Magnesium Sulphate
135,60,50,25,7,800,Cotton,Magnesium Sulphate
140,60,50,25,7,800,Cotton,Magnesium Sulphate
145,60,50,25,7,800,Cotton,Magnesium Sulphate
150,60,50,25,7,800,Cotton,Magnesium Sulphate
100,60,50,25,7,800,Cotton,Magnesium Sulphate
105,40,55,30,7.5,900,Cotton,Magnesium Sulphate
110,40,55,30,7.5,900,Cotton,Magnesium Sulphate
115,40,55,30,7.5,900,Cotton,Magnesium Sulphate
120,40,55,30,7.5,900,Cotton,Magnesium Sulphate
125,40,55,30,7.5,900,Cotton,Magnesium Sulphate
130,40,55,30,7.5,900,Cotton,Magnesium Sulphate
135,40,55,30,7.5,900,Cotton,Magnesium Sulphate
140,40,55,30,7.5,900,Cotton,Magnesium Sulphate
145,40,55,30,7.5,900,Cotton,Magnesium Sulphate
150,40,55,30,7.5,900,Cotton,Magnesium Sulphate
100,40,55,30,7.5,900,Cotton,Magnesium Sulphate
105,45,60,35,6,1000,Cotton,Magnesium Sulphate
110,45,60,35,6,1000,Cotton,Magnesium Sulphate
115,45,60,35,6,1000,Cotton,Magnesium Sulphate
120,45,60,35,6,1000,Cotton,Magnesium Sulphate
125,45,60,35,6,1000,Cotton,Magnesium Sulphate
130,45,60,35,6,1000,Cotton,Magnesium Sulphate
135,45,60,35,6,1000,Cotton,Magnesium Sulphate
140,45,60,35,6,1000,Cotton,Magnesium Sulphate
145,45,60,35,6,1000,Cotton,Magnesium Sulphate
150,45,60,35,6,1000,Cotton,Magnesium Sulphate
100,45,60,35,6,1000,Cotton,Magnesium Sulphate
105,50,65,25,6.5,800,Cotton,Magnesium Sulphate
110,50,65,25,6.5,800,Cotton,Magnesium Sulphate
115,50,65,25,6.5,800,Cotton,Magnesium Sulphate
120,50,65,25,6.5,800,Cotton,Magnesium Sulphate
125,50,65,25,6.5,800,Cotton,Magnesium Sulphate
130,50,65,25,6.5,800,Cotton,Magnesium Sulphate
135,50,65,25,6.5,800,Cotton,Magnesium Sulphate
140,50,65,25,6.5,800,Cotton,Magnesium Sulphate
145,50,65,25,6.5,800,Cotton,Magnesium Sulphate
150,50,65,25,6.5,800,Cotton,Magnesium Sulphate
100,50,65,25,6.5,800,Cotton,Magnesium Sulphate
105,55,70,30,7,900,Cotton,Magnesium Sulphate
110,55,70,30,7,900,Cotton,Magnesium Sulphate
115,55,70,30,7,900,Cotton,Magnesium Sulphate
120,55,70,30,7,900,Cotton,Magnesium Sulphate
125,55,70,30,7,900,Cotton,Magnesium Sulphate
130,55,70,30,7,900,Cotton,Magnesium Sulphate
135,55,70,30,7,900,Cotton,Magnesium Sulphate
140,55,70,30,7,900,Cotton,Magnesium Sulphate
145,55,70,30,7,900,Cotton,Magnesium Sulphate
150,55,70,30,7,900,Cotton,Magnesium Sulphate
100,55,70,30,7,900,Cotton,Magnesium Sulphate
105,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
110,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
115,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
120,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
125,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
130,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
135,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
140,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
145,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
150,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
100,60,75,35,7.5,1000,Cotton,Magnesium Sulphate
105,60,40,25,6,800,Cotton,12:32:16 NPK
110,60,40,25,6,800,Cotton,12:32:16 NPK
115,60,40,25,6,800,Cotton,12:32:16 NPK
120,60,40,25,6,800,Cotton,12:32:16 NPK
100,60,40,25,6,800,Cotton,12:32:16 NPK
105,65,45,30,6.5,900,Cotton,12:32:16 NPK
110,65,45,30,6.5,900,Cotton,12:32:16 NPK
115,65,45,30,6.5,900,Cotton,12:32:16 NPK
120,65,45,30,6.5,900,Cotton,12:32:16 NPK
100,65,45,30,6.5,900,Cotton,12:32:16 NPK
105,70,50,35,7,1000,Cotton,12:32:16 NPK
110,70,50,35,7,1000,Cotton,12:32:16 NPK
115,70,50,35,7,1000,Cotton,12:32:16 NPK
120,70,50,35,7,1000,Cotton,12:32:16 NPK
100,70,50,35,7,1000,Cotton,12:32:16 NPK
105,75,55,25,7.5,800,Cotton,12:32:16 NPK
110,75,55,25,7.5,800,Cotton,12:32:16 NPK
115,75,55,25,7.5,800,Cotton,12:32:16 NPK
120,75,55,25,7.5,800,Cotton,12:32:16 NPK
100,75,55,25,7.5,800,Cotton,12:32:16 NPK
105,80,60,30,6,900,Cotton,12:32:16 NPK
110,80,60,30,6,900,Cotton,12:32:16 NPK
115,80,60,30,6,900,Cotton,12:32:16 NPK
120,80,60,30,6,900,Cotton,12:32:16 NPK
100,80,60,30,6,900,Cotton,12:32:16 NPK
105,60,65,35,6.5,1000,Cotton,12:32:16 NPK
110,60,65,35,6.5,1000,Cotton,12:32:16 NPK
115,60,65,35,6.5,1000,Cotton,12:32:16 NPK
120,60,65,35,6.5,1000,Cotton,12:32:16 NPK
100,60,65,35,6.5,1000,Cotton,12:32:16 NPK
105,65,40,25,7,800,Cotton,12:32:16 NPK
110,65,40,25,7,800,Cotton,12:32:16 NPK
115,65,40,25,7,800,Cotton,12:32:16 NPK
120,65,40,25,7,800,Cotton,12:32:16 NPK
100,65,40,25,7,800,Cotton,12:32:16 NPK
105,70,45,30,7.5,900,Cotton,12:32:16 NPK
110,70,45,30,7.5,900,Cotton,12:32:16 NPK
115,70,45,30,7.5,900,Cotton,12:32:16 NPK
120,70,45,30,7.5,900,Cotton,12:32:16 NPK
100,70,45,30,7.5,900,Cotton,12:32:16 NPK
105,75,50,35,6,1000,Cotton,12:32:16 NPK
110,75,50,35,6,1000,Cotton,12:32:16 NPK
115,75,50,35,6,1000,Cotton,12:32:16 NPK
120,75,50,35,6,1000,Cotton,12:32:16 NPK
100,75,50,35,6,1000,Cotton,12:32:16 NPK
105,80,55,25,6.5,800,Cotton,12:32:16 NPK
110,80,55,25,6.5,800,Cotton,12:32:16 NPK
115,80,55,25,6.5,800,Cotton,12:32:16 NPK
120,80,55,25,6.5,800,Cotton,12:32:16 NPK
100,80,55,25,6.5,800,Cotton,12:32:16 NPK
105,60,60,30,7,900,Cotton,12:32:16 NPK
110,60,60,30,7,900,Cotton,12:32:16 NPK
115,60,60,30,7,900,Cotton,12:32:16 NPK
120,60,60,30,7,900,Cotton,12:32:16 NPK
100,60,60,30,7,900,Cotton,12:32:16 NPK
105,65,65,35,7.5,1000,Cotton,12:32:16 NPK
110,65,65,35,7.5,1000,Cotton,12:32:16 NPK
115,65,65,35,7.5,1000,Cotton,12:32:16 NPK
120,65,65,35,7.5,1000,Cotton,12:32:16 NPK
100,65,65,35,7.5,1000,Cotton,12:32:16 NPK
105,70,40,25,6,800,Cotton,12:32:16 NPK
110,70,40,25,6,800,Cotton,12:32:16 NPK
115,70,40,25,6,800,Cotton,12:32:16 NPK
120,70,40,25,6,800,Cotton,12:32:16 NPK
100,70,40,25,6,800,Cotton,12:32:16 NPK
105,75,45,30,6.5,900,Cotton,12:32:16 NPK
110,75,45,30,6.5,900,Cotton,DAP
115,75,45,30,6.5,900,Cotton,DAP
120,75,45,30,6.5,900,Cotton,DAP
100,75,45,30,6.5,900,Cotton,DAP
105,80,50,35,7,1000,Cotton,DAP
110,80,50,35,7,1000,Cotton,DAP
115,80,50,35,7,1000,Cotton,DAP
120,80,50,35,7,1000,Cotton,DAP
100,80,50,35,7,1000,Cotton,DAP
105,60,55,25,7.5,800,Cotton,DAP
110,60,55,25,7.5,800,Cotton,DAP
115,60,55,25,7.5,800,Cotton,DAP
120,60,55,25,7.5,800,Cotton,DAP
100,60,55,25,7.5,800,Cotton,DAP
105,65,60,30,6,900,Cotton,DAP
110,65,60,30,6,900,Cotton,DAP
115,65,60,30,6,900,Cotton,DAP
120,65,60,30,6,900,Cotton,DAP
100,65,60,30,6,900,Cotton,DAP
105,70,65,35,6.5,1000,Cotton,DAP
110,70,65,35,6.5,1000,Cotton,DAP
115,70,65,35,6.5,1000,Cotton,DAP
120,70,65,35,6.5,1000,Cotton,DAP
100,70,65,35,6.5,1000,Cotton,DAP
105,75,40,25,7,800,Cotton,DAP
110,75,40,25,7,800,Cotton,DAP
115,75,40,25,7,800,Cotton,DAP
120,75,40,25,7,800,Cotton,DAP
100,75,40,25,7,800,Cotton,DAP
105,80,45,30,7.5,900,Cotton,DAP
110,80,45,30,7.5,900,Cotton,DAP
115,80,45,30,7.5,900,Cotton,DAP
120,80,45,30,7.5,900,Cotton,DAP
100,80,45,30,7.5,900,Cotton,DAP
105,60,50,35,6,1000,Cotton,DAP
110,60,50,35,6,1000,Cotton,DAP
115,60,50,35,6,1000,Cotton,DAP
120,60,50,35,6,1000,Cotton,DAP
100,60,50,35,6,1000,Cotton,DAP
105,65,55,25,6.5,800,Cotton,DAP
110,65,55,25,6.5,800,Cotton,DAP
115,65,55,25,6.5,800,Cotton,DAP
120,65,55,25,6.5,800,Cotton,DAP
100,65,55,25,6.5,800,Cotton,DAP
105,70,60,30,7,900,Cotton,DAP
110,70,60,30,7,900,Cotton,DAP
115,70,60,30,7,900,Cotton,DAP
120,70,60,30,7,900,Cotton,DAP
100,70,60,30,7,900,Cotton,DAP
105,75,65,35,7.5,1000,Cotton,DAP
110,75,65,35,7.5,1000,Cotton,DAP
115,75,65,35,7.5,1000,Cotton,DAP
120,75,65,35,7.5,1000,Cotton,DAP
100,75,65,35,7.5,1000,Cotton,DAP
105,80,40,25,6,800,Cotton,DAP
110,80,40,25,6,800,Cotton,DAP
115,80,40,25,6,800,Cotton,DAP
120,80,40,25,6,800,Cotton,DAP
100,80,40,25,6,800,Cotton,DAP
105,60,45,30,6.5,900,Cotton,DAP
110,60,45,30,6.5,900,Cotton,DAP
115,60,45,30,6.5,900,Cotton,DAP
120,60,45,30,6.5,900,Cotton,DAP
100,60,45,30,6.5,900,Cotton,DAP
105,65,50,35,7,1000,Cotton,DAP
110,65,50,35,7,1000,Cotton,DAP
115,65,50,35,7,1000,Cotton,Magnesium Sulphate
120,65,50,35,7,1000,Cotton,Magnesium Sulphate
100,65,50,35,7,1000,Cotton,Magnesium Sulphate
105,70,55,25,7.5,800,Cotton,Magnesium Sulphate
110,70,55,25,7.5,800,Cotton,Magnesium Sulphate
115,70,55,25,7.5,800,Cotton,Magnesium Sulphate
120,70,55,25,7.5,800,Cotton,Magnesium Sulphate
100,70,55,25,7.5,800,Cotton,Magnesium Sulphate
105,75,60,30,6,900,Cotton,Magnesium Sulphate
110,75,60,30,6,900,Cotton,Magnesium Sulphate
115,75,60,30,6,900,Cotton,Magnesium Sulphate
120,75,60,30,6,900,Cotton,Magnesium Sulphate
100,75,60,30,6,900,Cotton,Magnesium Sulphate
105,80,65,35,6.5,1000,Cotton,Magnesium Sulphate
110,80,65,35,6.5,1000,Cotton,Magnesium Sulphate
115,80,65,35,6.5,1000,Cotton,Magnesium Sulphate
120,80,65,35,6.5,1000,Cotton,Magnesium Sulphate
20,80,65,35,6.5,1000,Cotton,Magnesium Sulphate
25,15,20,25,5.5,700,Rice,Urea
30,15,20,25,5.5,700,Rice,Urea
20,15,20,25,5.5,700,Rice,Urea
25,20,25,30,6,800,Rice,Urea
30,20,25,30,6,800,Rice,Urea
20,20,25,30,6,800,Rice,Urea
25,15,25,25,6.5,900,Rice,Urea
30,15,25,25,6.5,900,Rice,Urea
20,15,25,25,6.5,900,Rice,Urea
25,20,20,30,5.5,1000,Rice,Urea
30,20,20,30,5.5,1000,Rice,Urea
25,20,20,30,5.5,1000,Rice,Urea
30,20,30,25,6,700,Rice,Urea
35,20,30,25,6,700,Rice,Urea
25,20,30,25,6,700,Rice,Urea
30,25,35,30,6.5,800,Rice,Urea
35,25,35,30,6.5,800,Rice,Urea
25,25,35,30,6.5,800,Rice,Urea
30,30,40,25,5.5,900,Rice,Urea
35,30,40,25,5.5,900,Rice,Urea
25,30,40,25,5.5,900,Rice,50:26:26 NPK
30,20,35,30,6,1000,Rice,50:26:26 NPK
35,20,35,30,6,1000,Rice,50:26:26 NPK
25,20,35,30,6,1000,Rice,50:26:26 NPK
30,25,40,25,6.5,700,Rice,50:26:26 NPK
35,25,40,25,6.5,700,Rice,50:26:26 NPK
25,25,40,25,6.5,700,Rice,50:26:26 NPK
30,30,30,30,5.5,800,Rice,50:26:26 NPK
35,30,30,30,5.5,800,Rice,50:26:26 NPK
25,30,30,30,5.5,800,Rice,50:26:26 NPK
30,20,40,25,6,900,Rice,50:26:26 NPK
35,20,40,25,6,900,Rice,50:26:26 NPK
25,20,40,25,6,900,Rice,50:26:26 NPK
30,25,30,30,6.5,1000,Rice,50:26:26 NPK
35,25,30,30,6.5,1000,Rice,50:26:26 NPK
25,25,30,30,6.5,1000,Rice,50:26:26 NPK
30,30,35,25,5.5,700,Rice,50:26:26 NPK
35,30,35,25,5.5,700,Rice,50:26:26 NPK
100,30,35,25,5.5,700,Rice,50:26:26 NPK
25,30,20,25,6,500,Groundnut,Chilated Micronutrient
30,30,20,25,6,500,Groundnut,Chilated Micronutrient
20,30,20,25,6,500,Groundnut,Chilated Micronutrient
25,35,25,30,6.5,600,Groundnut,Chilated Micronutrient
30,35,25,30,6.5,600,Groundnut,Chilated Micronutrient
20,35,25,30,6.5,600,Groundnut,Chilated Micronutrient
25,40,20,25,7,500,Groundnut,Chilated Micronutrient
30,40,20,25,7,500,Groundnut,Chilated Micronutrient
20,40,20,25,7,500,Groundnut,Chilated Micronutrient
25,30,25,30,7.5,600,Groundnut,SSP
30,30,25,30,7.5,600,Groundnut,SSP
20,30,25,30,7.5,600,Groundnut,SSP
25,35,20,25,6,500,Groundnut,SSP
30,35,20,25,6,500,Groundnut,SSP
